Antigua and Barbuda,1988,18,18,99.4,98.4,50.6,52.6,0.22580645161290325,0.10967741935483873,32.62903225806452,33.112903225806456,x,99.0,x
Antigua and Barbuda,1991,18,18,99.4,98.4,53.17142857142857,54.48571428571429,0.1,0.1,33.2,33.2,x,107.4,196
Antigua and Barbuda,1992,18,18,99.4,98.4,54.02857142857143,55.114285714285714,0.48,0.19,32.45,32.81,x,107.4,194
Antigua and Barbuda,1993,18,18,99.4,98.4,54.885714285714286,55.74285714285714,0.86,0.28,31.700000000000003,32.42,x,107.4,178
Antigua and Barbuda,1994,18,18,99.4,98.4,55.74285714285715,56.371428571428574,1.2400000000000002,0.37,30.950000000000003,32.03,x,107.4,184
Antigua and Barbuda,1995,18,18,99.4,98.4,56.6,57.0,1.62,0.45999999999999996,30.200000000000003,31.64,x,107.4,213
Antigua and Barbuda,1996,18,18,99.4,98.4,x,x,2.0,0.5499999999999999,29.450000000000003,31.25,x,107.4,x
Antigua and Barbuda,1997,18,18,99.4,98.4,x,x,2.3800000000000003,0.64,28.700000000000003,30.86,x,107.4,x
Antigua and Barbuda,2000,18,18,99.4,98.4,x,x,3.52,0.9099999999999999,26.45,29.69,x,107.4,x
Antigua and Barbuda,2001,18,18,99.4,98.4,x,x,3.9,1,25.7,29.3,x,112.9,x
Antigua and Barbuda,2002,18,18,99.4,98.4,x,x,3.9609756097560975,1.0195121951219512,25.660975609756097,29.226829268292683,x,112.9,x
Antigua and Barbuda,2003,18,18,99.4,98.4,x,x,4.021951219512195,1.0390243902439025,25.621951219512194,29.153658536585368,x,112.9,x
Antigua and Barbuda,2004,18,18,99.4,98.4,x,x,4.082926829268293,1.0585365853658537,25.582926829268292,29.08048780487805,x,112.9,x
Argentina,1970,16,18,x,x,x,x,10.8,1.9,23.1,26.4,x,x,x
Argentina,1980,16,18,97.30247985,96.45921911,x,x,11.561904761904762,2.280952380952381,17.9,19.8,27.823809523809526,99.0,x
Argentina,1985,16,18,97.7580075090909,97.1893424009091,x,x,11.942857142857143,2.4714285714285715,20.354545454545455,22.527272727272727,30.8,103.2,87332
Argentina,1986,16,18,97.84911304090909,97.33536705909091,x,x,12.019047619047619,2.5095238095238095,20.845454545454544,23.072727272727274,31.6,103.3,91501
Argentina,1987,16,18,97.94021857272726,97.48139171727273,x,x,12.095238095238095,2.5476190476190474,21.336363636363636,23.618181818181817,32.3,103.4,90605
Argentina,1988,16,18,98.03132410454545,97.62741637545454,x,x,12.17142857142857,2.585714285714286,21.827272727272728,24.163636363636364,33,103.5,93788
Argentina,1989,16,18,98.12242963636363,97.77344103363637,x,x,12.247619047619049,2.623809523809524,22.31818181818182,24.70909090909091,33.7,103.6,92499
Argentina,1990,16,18,98.2135351681818,97.91946569181819,x,x,12.323809523809524,2.661904761904762,22.80909090909091,25.254545454545454,34.4,103.7,96404
Argentina,1991,16,18,98.3046407,98.06549035,x,x,12.4,2.7,23.3,25.8,35.2,103.7,101772
Argentina,1992,16,18,98.38694388299999,98.12973109800001,x,x,12.22,2.8200000000000003,23.43,25.91,35.5,103.7,100278
Argentina,1993,16,18,98.469247066,98.193971846,x,x,12.040000000000001,2.94,23.560000000000002,26.02,36.1,103.8,100162
Argentina,1994,16,18,98.551550249,98.258212594,53.124999999999986,41.499999999999986,11.86,3.06,23.69,26.13,36.6,103.8,103137
Argentina,1995,16,18,98.633853432,98.322453342,54.649999999999984,53.36,11.68,3.18,23.82,26.24,37.5,103.9,103688
Argentina,1996,16,18,98.71615661499999,98.38669408999999,56.17499999999998,55.349999999999994,11.5,3.3,23.950000000000003,26.35,37.9,103.9,105709
Argentina,1997,16,18,98.798459798,98.450934838,57.69999999999999,57.339999999999996,11.32,3.42,24.080000000000002,26.46,38.2,103.9,111898
Argentina,1998,16,18,98.880762981,98.515175586,59.224999999999994,59.33,11.14,3.54,24.21,26.57,38.7,104,107857
Argentina,1999,16,18,98.963066164,98.579416334,60.74999999999999,61.32,10.959999999999999,3.66,24.34,26.68,39.4,104.1,105546
Argentina,2000,16,18,99.04536934699999,98.64365708199999,62.27499999999999,63.309999999999995,10.78,3.78,24.470000000000002,26.79,40,104.3,106337
Argentina,2001,16,18,99.12767253,98.70789783,63.8,65.3,10.6,3.9,24.6,26.9,40.8,104.1,100082
Argentina,2002,16,18,99.136413277,98.74032304699999,65.325,68.7,10.855555555555556,4.133333333333333,24.6,26.866666666666667,41.7,104.2,101753
Argentina,2003,16,18,99.14515402399999,98.772748264,66.85,72.1,11.11111111111111,4.366666666666666,24.6,26.833333333333332,42.1,104.2,95224
Argentina,2004,16,18,99.153894771,98.805173481,68.375,75.5,11.366666666666667,4.6,24.6,26.8,42.4,104.2,106438
Argentina,2005,16,18,99.162635518,98.837598698,69.9,78.9,11.622222222222222,4.833333333333333,24.6,26.766666666666666,42.9,104.5,107109
Argentina,2006,16,18,99.17137626499999,98.87002391499999,71.42500000000001,80.89,11.877777777777778,5.066666666666666,24.6,26.733333333333334,43.3,100.0,x
Argentina,2010,16,18,99.206339253,98.999724783,77.52500000000002,88.85000000000001,12.9,6,24.6,26.6,45.68095238095238,100.0,x
Argentina,2011,16,18,99.21508,99.03215,79.05000000000001,90.84,12.9525,6.1025,24.637500000000003,26.605,46.27619047619047,100.0,x
Armenia,1979,17,17,x,x,x,x,13.6,1.9,21.5,24,46.5,99.0,x
Armenia,1985,17,17,98.9697296,98.972424,24.789473684210524,56.34736842105263,15.52,2.2,21.32,24.12,47.1,104.5,7984
Armenia,1986,17,17,99.0,99.0,24.857894736842105,56.28947368421053,15.84,2.25,21.29,24.14,47.1,104.26666666666667,7786
Armenia,1987,17,17,99.0,99.0,24.926315789473684,56.23157894736842,16.16,2.3,21.259999999999998,24.16,47.2,104.03333333333333,7560
Armenia,1988,17,17,99.0,99.0,24.99473684210526,56.17368421052632,16.48,2.35,21.23,24.18,47.3,103.8,8159
Armenia,1989,17,17,99.90996264,99.90936706,25.06315789473684,56.11578947368421,16.8,2.4,21.2,24.2,47.5,104.9,8530
Armenia,1990,17,17,99.905938205,99.89628189749999,25.13157894736842,56.05789473684211,16.058333333333334,2.2666666666666666,21.383333333333333,24.466666666666665,47.7,106.2,10018
Armenia,1991,17,17,99.90191377000001,99.883196735,25.2,56,15.316666666666666,2.1333333333333333,21.566666666666666,24.733333333333334,47.5,107.10000000000001,11283
Armenia,1992,17,17,99.897889335,99.8701115725,24.666666666666664,56.5,14.575000000000001,2.0,21.75,25.0,47.3,108.0,12447
Armenia,1993,17,17,99.8938649,99.85702640999999,24.133333333333333,57.0,13.833333333333334,1.8666666666666667,21.933333333333334,25.266666666666666,47.1,108.9,11832
Armenia,1994,17,17,99.889840465,99.8439412475,23.599999999999998,57.5,13.091666666666667,1.7333333333333334,22.116666666666667,25.53333333333333,46.9,109.8,10637
Armenia,1995,17,17,99.88581603,99.830856085,23.066666666666666,58.0,12.350000000000001,1.5999999999999999,22.299999999999997,25.799999999999997,46.8,110.7,8964
Armenia,1996,17,17,99.881791595,99.81777092249999,22.53333333333333,58.5,11.608333333333334,1.4666666666666666,22.48333333333333,26.066666666666666,46.7,111.08,8694
